Wall time,Step,Value
1520058986.5037708,125460,-4.871241569519043
1520058986.515105,125475,-5.191523551940918
1520058986.5185547,125480,-5.459298133850098
1520060704.3665078,125520,-5.1202006340026855
1520060704.3994193,125540,-5.2071332931518555
1520060704.4372618,125565,-4.013319492340088
1520060704.4897895,125595,-6.111388683319092
1520060704.514045,125600,-5.174179553985596
1520062440.8586981,125620,-5.916501998901367
1520062440.905403,125660,-4.366399765014648
1520064169.882898,125725,-4.023647308349609
1520064169.8853858,125730,-3.8029096126556396
1520064169.8949642,125740,-5.102593898773193
1520064169.9343798,125765,-4.449375152587891
1520064169.9456766,125770,-5.2260518074035645
1520064169.9531603,125780,-4.952325344085693
1520065907.6648104,125825,-4.990070819854736
1520065907.6742194,125830,-4.553555965423584
1520065907.679145,125835,-3.0234291553497314
1520067621.2117436,125920,-4.3653740882873535
1520067621.2165358,125925,-4.832082271575928
1520067621.2222788,125930,-4.385558128356934
1520067621.2756286,125955,-5.268074989318848
1520067621.3899045,126000,-3.744297504425049
1520069368.5789466,126010,-4.971679210662842
1520069368.5809438,126015,-4.126598834991455
1520069368.6311648,126045,-4.335689067840576
1520069368.6581154,126065,-3.716439723968506
1520069368.6682978,126075,-5.850278377532959
1520069368.6765666,126085,-3.9302382469177246
1520069368.6803203,126095,-4.5925092697143555
1520071103.8365333,126115,-5.009489059448242
1520071103.8476214,126125,-5.258399486541748
1520071103.8684514,126130,-5.69801139831543
1520071103.8813574,126150,-1.998079538345337
1520071103.88401,126155,-2.2887563705444336
1520071103.8859732,126165,-5.158710956573486
1520071103.8942318,126180,-5.446613788604736
1520071103.9067783,126195,-5.498519420623779
1520072841.9607663,126230,-4.864349842071533
1520072842.0374496,126265,-5.047480583190918
1520072842.072851,126290,-4.886639595031738
1520072842.0787146,126295,-3.8424370288848877
1520074570.7714994,126325,-4.485485553741455
1520074570.7825992,126335,-3.8200507164001465
1520074570.7889645,126345,-3.980616569519043
1520074570.825197,126355,-4.433074951171875
1520074570.8271556,126360,-3.038330078125
1520074570.8761466,126385,-5.113455772399902
1520076298.712477,126410,-5.035202503204346
1520076298.7234178,126420,-4.250625133514404
1520076298.8521945,126455,-5.88380241394043
1520076298.8540947,126460,-5.7698235511779785
1520076298.8692157,126480,-5.669856548309326
1520076298.8711398,126485,-5.959542751312256
1520078023.7761664,126520,-5.62823486328125
1520079760.3794901,126610,-5.276159763336182
1520079760.3861942,126620,-4.474470138549805
1520079760.4175553,126640,-5.576426982879639
1520079760.4252875,126645,-5.191848278045654
1520079760.4523761,126665,-4.386512279510498
